SEX_clean,EDUCATION_clean,MARRIAGE_clean,age_group,limit_group,LIMIT_BAL,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,max_delay,avg_delay,recent_delay,late_payment_count,severe_delay_count,is_ever_late,total_bill,avg_bill,max_bill,bill_std,bill_trend,total_payment,avg_payment,max_payment,payment_std,payment_trend,payment_ratio,credit_utilization,bill_to_limit_ratio,payment_to_limit_ratio,recent_pay_to_bill_ratio,actual_default,predicted_default,default_probability,actual_label,predicted_label
Male,Graduate School,Married,31-40,High,180000.0,40,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.5721888940267298,Default,Tidak Default
Male,Graduate School,Married,51-60,Very High,290000.0,51,0,0,0,0,0,0,225478.0,225603.0,216488.0,152892.0,150051.0,146287.0,10026.0,10006.0,7000.0,5000.0,5200.0,5500.0,0,0.0,0,0,0,0,1116799.0,186133.16666666666,225603.0,40054.74870931868,79191.0,42732.0,7122.0,10026.0,2349.1874339864835,4526.0,0.038262928243991745,0.6418385057449132,3.851031034469479,0.14735172413742292,0.044465535440067476,0,0,0.25607448209172273,Tidak Default,Tidak Default
Female,Graduate School,Single,31-40,High,210000.0,31,0,0,0,0,0,0,10968.0,12480.0,16919.0,11775.0,13275.0,24901.0,2000.0,6016.0,1000.0,1500.0,13000.0,500.0,0,0.0,0,0,0,0,90318.0,15053.0,24901.0,5247.459995083335,-13933.0,24016.0,4002.6666666666665,13000.0,4828.337464041497,1500.0,0.2659049137462532,0.07168095238061103,0.43008571428366626,0.11436190476136018,0.1823486506033599,0,0,0.2104074532225641,Tidak Default,Tidak Default
Female,High School,Married,31-40,Medium,90000.0,40,1,2,2,2,2,2,40467.0,41495.0,42520.0,42997.0,41698.0,43976.0,2000.0,2000.0,1800.0,0.0,3434.0,1708.0,2,1.8333333333333333,1,6,5,1,253153.0,42192.166666666664,43976.0,1236.4250752337023,-3509.0,10942.0,1823.6666666666667,3434.0,1094.9940030277182,292.0,0.04322287312398738,0.46880185184664297,2.8128111110798577,0.12157777777642692,0.0494229866298608,0,1,0.8184756062000212,Tidak Default,Default
Male,Graduate School,Single,20-30,Very High,500000.0,30,-2,-2,-2,-2,-2,-1,24349.0,9543.0,53947.0,84388.0,26154.0,175790.0,9605.0,54218.0,84839.0,26283.0,175857.0,4914.0,0,0.0,0,0,0,0,374171.0,62361.833333333336,175790.0,61591.75639455873,-151441.0,355716.0,59286.0,175857.0,64468.8337539931,4691.0,0.9506776313478311,0.12472366666641722,0.7483419999985033,0.7114319999985771,0.39447205222413767,0,0,0.1865468875581105,Tidak Default,Tidak Default
Male,Graduate School,Married,51-60,Very High,350000.0,60,1,-1,-1,-1,-2,-1,0.0,1150.0,4576.0,0.0,0.0,1206.0,1150.0,4576.0,0.0,0.0,1206.0,0.0,1,0.16666666666666666,1,1,0,1,6932.0,1155.3333333333333,4576.0,1772.4526133769182,-1206.0,6932.0,1155.3333333333333,4576.0,1772.4526133769182,1150.0,0.9999999998557414,0.0033009523809429493,0.019805714285657697,0.019805714285657697,1150000000.0,1,0,0.5592073866148469,Default,Tidak Default
Male,Graduate School,Single,31-40,High,180000.0,32,0,0,0,0,0,0,154374.0,153018.0,146396.0,136531.0,138502.0,136665.0,7500.0,7000.0,5000.0,5000.0,6000.0,5137.0,0,0.0,0,0,0,0,865486.0,144247.66666666666,154374.0,8174.755939272234,17709.0,35637.0,5939.5,7500.0,1092.9599718196453,2363.0,0.041175709370179094,0.8013759259214738,4.808255555528842,0.19798333333223342,0.048583310660806976,0,0,0.265209163473526,Tidak Default,Tidak Default
Male,High School,Single,20-30,Low,50000.0,23,0,0,-2,-2,-2,-2,4332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,4332.0,722.0,4332.0,1768.5315942894547,4332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144399999997112,0.0866399999982672,0.0,0.0,0,0,0.4398483175032339,Tidak Default,Tidak Default
Female,University,Married,31-40,Very High,320000.0,39,0,0,0,0,0,0,38332.0,63396.0,66871.0,69339.0,31525.0,30861.0,30000.0,4700.0,3000.0,5000.0,5000.0,7000.0,0,0.0,0,0,0,0,300324.0,50054.0,69339.0,18340.294719551264,7471.0,54700.0,9116.666666666666,30000.0,10309.300008568316,23000.0,0.18213662577688716,0.1564187499995112,0.9385124999970671,0.1709374999994658,0.7826359177506356,0,0,0.19758163783845076,Tidak Default,Tidak Default
Male,University,Married,60+,Very High,410000.0,63,0,0,0,0,0,0,429392.0,425895.0,411492.0,371539.0,308888.0,240970.0,15120.0,16284.0,16524.0,10320.0,8525.0,6739.0,0,0.0,0,0,0,0,2188176.0,364696.0,429392.0,75617.77333669644,188422.0,73512.0,12252.0,16524.0,4260.252433835348,8381.0,0.03359510386731525,0.8895024390222207,5.337014634133324,0.17929756097517244,0.03521257964741958,1,0,0.3926541503784507,Default,Tidak Default
Female,Graduate School,Single,20-30,Medium,80000.0,24,0,0,0,-2,-2,-2,30985.0,44300.0,0.0,0.0,0.0,0.0,14300.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,75285.0,12547.5,44300.0,19889.30208680033,30985.0,14300.0,2383.3333333333335,14300.0,5837.950553633242,14300.0,0.18994487613482175,0.15684374999803946,0.9410624999882368,0.17874999999776564,0.4615136356152489,0,0,0.281976301849746,Tidak Default,Tidak Default
Male,University,Married,51-60,Medium,90000.0,58,0,0,0,0,0,0,93737.0,85818.0,88988.0,50780.0,50929.0,48735.0,3600.0,5100.0,2200.0,2200.0,1944.0,2200.0,0,0.0,0,0,0,0,418987.0,69831.16666666667,93737.0,21722.51861471562,45002.0,17244.0,2874.0,5100.0,1241.7632624618914,1400.0,0.04115640819395075,0.7759018518432308,4.655411111059385,0.1915999999978711,0.03840532553806496,0,0,0.3339620583315448,Tidak Default,Tidak Default
Female,High School,Married,51-60,Medium,100000.0,55,-2,-2,-2,-2,-2,-2,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,0,0.0,0,0,0,0,2340.0,390.0,390.0,0.0,0.0,2340.0,390.0,390.0,0.0,0.0,0.9999999995726496,0.003899999999961,0.023399999999766,0.023399999999766,0.9999999974358974,1,0,0.49044420592854554,Default,Tidak Default
Male,University,Married,31-40,Medium,70000.0,34,0,0,0,0,0,-1,59841.0,60021.0,58476.0,20717.0,11473.0,22021.0,2610.0,1366.0,414.0,229.0,22021.0,668.0,0,0.0,0,0,0,0,232549.0,38758.166666666664,60021.0,22958.58731208579,37820.0,27308.0,4551.333333333333,22021.0,8602.147956566818,1942.0,0.11742901495978297,0.5536880952301855,3.322128571381113,0.3901142857087127,0.04361558128969075,0,0,0.3413490785214959,Tidak Default,Tidak Default
Female,High School,Married,20-30,Low,30000.0,29,-1,-1,-1,0,0,0,3489.0,14926.0,9937.0,8027.0,14709.0,7483.0,14969.0,9942.0,10.0,10022.0,384.0,0.0,0,0.0,0,0,0,0,58571.0,9761.833333333334,14926.0,4443.53293750217,-3994.0,35327.0,5887.833333333333,14969.0,6565.102845094407,14969.0,0.6031483157090856,0.325394444433598,1.9523666666015878,1.1775666666274145,4.290341070710708,0,0,0.3237386343211015,Tidak Default,Tidak Default
Male,Graduate School,Single,31-40,High,220000.0,31,-2,-2,-2,-2,-2,-2,4935.0,3796.0,5227.0,2291.0,4739.0,1640.0,3796.0,5227.0,2293.0,4739.0,1640.0,3012.0,0,0.0,0,0,0,0,22628.0,3771.3333333333335,5227.0,1492.9193771489024,3295.0,20707.0,3451.1666666666665,5227.0,1396.1053565783159,784.0,0.9151051793832815,0.017142424242346323,0.10285454545407793,0.09412272727229944,0.7691995945756434,0,0,0.27619483487191626,Tidak Default,Tidak Default
Male,High School,Married,51-60,Medium,80000.0,57,2,2,2,2,2,2,7431.0,9895.0,9937.0,9629.0,10571.0,10749.0,2600.0,350.0,0.0,1100.0,500.0,1300.0,2,2.0,2,6,6,1,58212.0,9702.0,10749.0,1192.192434131336,-3318.0,5850.0,975.0,2600.0,930.4568770233255,1300.0,0.10049474335015986,0.12127499999848407,0.7276499999909044,0.07312499999908595,0.3498856142713113,1,1,0.9228766092350328,Default,Default
Male,Graduate School,Single,20-30,Medium,80000.0,30,0,0,2,2,2,2,76539.0,21644.0,17427.0,67659.0,63815.0,48670.0,3510.0,41.0,65007.0,53.0,3228.0,0.0,2,1.3333333333333333,0,4,4,1,295754.0,49292.333333333336,76539.0,24782.41408472279,27869.0,71839.0,11973.166666666666,65007.0,26032.726721699106,3510.0,0.24290119491116635,0.6161541666589648,3.6969249999537888,0.8979874999887753,0.045858973855866174,0,1,0.6364327317448477,Tidak Default,Default
Male,University,Single,51-60,High,160000.0,57,-2,-2,-2,-2,-2,-1,-1.0,-1.0,-1.0,-1.0,-1.0,600.0,0.0,0.0,0.0,0.0,601.0,0.0,0,0.0,0,0,0,0,595.0,99.16666666666667,600.0,245.35722256878168,-601.0,601.0,100.16666666666667,601.0,245.35722256878168,0.0,1.010084031915825,0.000619791666662793,0.0037187499999767576,0.003756249999976523,0.0,1,0,0.41386645357907087,Default,Tidak Default
Female,High School,Married,20-30,Medium,60000.0,29,0,0,0,0,0,0,59190.0,56704.0,48980.0,34416.0,28818.0,28546.0,2200.0,2300.0,3000.0,1100.0,1000.0,1000.0,0,0.0,0,0,0,0,256654.0,42775.666666666664,59190.0,13921.971550993296,30644.0,10600.0,1766.6666666666667,3000.0,850.0980335624043,1200.0,0.0413007395168542,0.7129277777658956,4.277566666595374,0.17666666666372222,0.03716844061434079,0,0,0.34460322185128917,Tidak Default,Tidak Default
Male,Graduate School,Single,31-40,Low,50000.0,32,2,2,2,2,2,2,30559.0,31753.0,32847.0,33308.0,33755.0,34565.0,2000.0,1900.0,1300.0,1300.0,1500.0,1500.0,2,2.0,2,6,6,1,196787.0,32797.833333333336,34565.0,1442.6215604470449,-4006.0,9500.0,1583.3333333333333,2000.0,299.44392908634273,500.0,0.04827554665680012,0.6559566666535476,3.935739999921285,0.1899999999962,0.06544716777167292,1,1,0.9264294220831508,Default,Default
Male,University,Single,20-30,Low,50000.0,26,0,0,0,0,0,0,47052.0,47874.0,40933.0,16603.0,16932.0,17287.0,1728.0,2856.0,1276.0,605.0,627.0,633.0,0,0.0,0,0,0,0,186681.0,31113.5,47874.0,15711.234054013708,29765.0,7725.0,1287.5,2856.0,892.7263298458269,1095.0,0.04138075112067441,0.6222699999875546,3.7336199999253274,0.15449999999691,0.036725325171369436,0,0,0.36139801760619483,Tidak Default,Tidak Default
Female,University,Married,20-30,Medium,120000.0,28,0,0,0,0,0,0,103676.0,96833.0,78920.0,74310.0,75710.0,77503.0,3283.0,3000.0,5000.0,3000.0,3000.0,4000.0,0,0.0,0,0,0,0,506952.0,84492.0,103676.0,12498.128579911474,26173.0,21283.0,3547.1666666666665,5000.0,810.4000041131952,-717.0,0.04198227840102814,0.7040999999941325,4.224599999964795,0.17735833333185536,0.031665959334545454,0,0,0.2591063033410271,Tidak Default,Tidak Default
Male,University,Married,20-30,High,240000.0,30,0,0,0,0,0,0,227675.0,181461.0,186160.0,191355.0,192406.0,190086.0,10003.0,10009.0,10014.0,8500.0,10000.0,8000.0,0,0.0,0,0,0,0,1169143.0,194857.16666666666,227675.0,16571.93769499109,37589.0,56526.0,9421.0,10014.0,920.7431780903945,2003.0,0.04834823456151356,0.8119048611077281,4.871429166646369,0.23552499999901863,0.04393543428112908,0,0,0.31435043074923164,Tidak Default,Tidak Default
Male,Graduate School,Single,31-40,Very High,320000.0,32,-1,-1,-1,0,0,-1,488.0,2290.0,14080.0,9931.0,7590.0,9685.0,2301.0,14109.0,11.0,38.0,9733.0,20444.0,0,0.0,0,0,0,0,44064.0,7344.0,14080.0,5102.052802549186,-9197.0,46636.0,7772.666666666667,20444.0,8420.954688553233,-18143.0,1.058369644129939,0.02294999999992828,0.1376999999995697,0.14573749999954458,4.715163924764008,0,0,0.2426830422564301,Tidak Default,Tidak Default
Female,High School,Married,31-40,High,240000.0,38,0,0,2,0,0,0,107148.0,113396.0,110084.0,112272.0,114779.0,116920.0,9500.0,0.0,4019.0,4317.0,4204.0,4314.0,2,0.3333333333333333,0,1,1,1,674599.0,112433.16666666667,116920.0,3465.2330609450596,-9772.0,26354.0,4392.333333333333,9500.0,3018.8577089135333,5186.0,0.039066171162365985,0.4684715277758258,2.8108291666549547,0.10980833333287579,0.08866241087011739,1,0,0.4649203666151097,Default,Tidak Default
Female,Graduate School,Single,20-30,High,240000.0,27,-2,-2,-2,-2,-2,-2,3293.0,9051.0,2804.0,3958.0,12157.0,3874.0,9079.0,2804.0,3958.0,12157.0,3874.0,937.0,0,0.0,0,0,0,0,35137.0,5856.166666666667,12157.0,3829.491528475636,-581.0,32809.0,5468.166666666667,12157.0,4248.0544919606045,8142.0,0.9337450550435795,0.024400694444342775,0.14640416666605666,0.13670416666609705,2.757060430380486,0,0,0.23311038302240578,Tidak Default,Tidak Default
Male,University,Married,31-40,Low,30000.0,38,1,2,0,0,0,2,24305.0,23621.0,24346.0,25359.0,26987.0,26416.0,0.0,1410.0,1423.0,2051.0,0.0,2000.0,2,0.8333333333333334,1,3,2,1,151034.0,25172.333333333332,26987.0,1320.3253639412776,-2111.0,6884.0,1147.3333333333333,2051.0,929.6652444114852,-2000.0,0.04557914112024061,0.8390777777498085,5.034466666498851,0.22946666665901777,0.0,1,1,0.7994526859229975,Default,Default
Male,University,Single,20-30,Very High,260000.0,28,0,0,0,0,0,0,251829.0,234867.0,237497.0,215343.0,205576.0,207688.0,10000.0,10500.0,9150.0,7500.0,8000.0,7500.0,0,0.0,0,0,0,0,1352800.0,225466.66666666666,251829.0,18666.954981106766,44141.0,52650.0,8775.0,10500.0,1301.441508482037,2500.0,0.038919278533383415,0.8671794871761518,5.203076923056911,0.20249999999922114,0.03970948540462095,0,0,0.3775641804007488,Tidak Default,Tidak Default
Male,University,Single,20-30,Medium,120000.0,26,2,2,2,2,0,0,109110.0,105891.0,113662.0,110349.0,112036.0,114584.0,0.0,11000.0,0.0,5000.0,4332.0,9404.0,2,1.3333333333333333,2,4,4,1,665632.0,110938.66666666667,114584.0,3196.241772248568,-5474.0,29736.0,4956.0,11000.0,4600.648302141775,-9404.0,0.04467333301276881,0.9244888888811849,5.546933333287109,0.247799999997935,0.0,0,1,0.8929098877220049,Tidak Default,Default
Female,University,Married,41-50,Medium,80000.0,47,0,0,-1,-1,-2,-2,4762.0,3235.0,1970.0,0.0,0.0,0.0,1000.0,1970.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,9967.0,1661.1666666666667,4762.0,2023.161922997432,4762.0,2970.0,495.0,1970.0,825.9237252918698,1000.0,0.29798334500873047,0.02076458333307378,0.12458749999844267,0.03712499999953594,0.20999580003990007,0,0,0.3729073371796609,Tidak Default,Tidak Default
Female,University,Single,51-60,Medium,70000.0,55,0,0,0,0,0,0,67572.0,58969.0,57625.0,45675.0,46236.0,46758.0,2124.0,2311.0,1622.0,1674.0,1677.0,1697.0,0,0.0,0,0,0,0,322835.0,53805.833333333336,67572.0,8987.062376920874,20814.0,11105.0,1850.8333333333333,2311.0,291.16690517067127,427.0,0.034398376879723705,0.7686547618937812,4.611928571362688,0.15864285714059084,0.03143313798568293,0,0,0.348844632686595,Tidak Default,Tidak Default
Male,University,Single,51-60,Medium,110000.0,51,0,0,0,0,0,0,69564.0,51264.0,51584.0,49601.0,50485.0,50565.0,2500.0,1800.0,1800.0,2000.0,2000.0,2000.0,0,0.0,0,0,0,0,323063.0,53843.833333333336,69564.0,7732.013590693349,18999.0,12100.0,2016.6666666666667,2500.0,256.2550812504343,500.0,0.037453995041098934,0.48948939393494406,2.9369363636096644,0.10999999999900001,0.035938128916739434,0,0,0.2521823558607562,Tidak Default,Tidak Default
Male,University,Single,20-30,Medium,120000.0,27,0,0,0,0,0,0,29344.0,33474.0,29029.0,26523.0,20554.0,19348.0,5053.0,1789.0,2037.0,659.0,802.0,640.0,0,0.0,0,0,0,0,158272.0,26378.666666666668,33474.0,5468.803732688409,9996.0,10980.0,1830.0,5053.0,1689.756432152279,4413.0,0.06937424181112657,0.21982222222039038,1.3189333333223423,0.09149999999923751,0.17219874590470968,0,0,0.24342292526440676,Tidak Default,Tidak Default
Female,University,Married,31-40,Very High,300000.0,40,-1,-1,-1,-1,-1,-1,2991.0,1278.0,4043.0,683.0,172.0,402.0,1278.0,4045.0,685.0,172.0,402.0,4080.0,0,0.0,0,0,0,0,9569.0,1594.8333333333333,4043.0,1569.8363502819861,2589.0,10662.0,1777.0,4080.0,1808.631969196608,-2802.0,1.1142230116925256,0.005316111111093391,0.031896666666560346,0.035539999999881534,0.427281845393754,0,0,0.341153305354476,Tidak Default,Tidak Default
Female,University,Single,31-40,Medium,120000.0,37,2,2,2,0,0,0,38757.0,41302.0,39247.0,44412.0,23344.0,22892.0,4300.0,0.0,9076.0,8788.0,1000.0,2000.0,2,1.0,2,3,3,1,209954.0,34992.333333333336,44412.0,9411.893043732842,15865.0,25164.0,4194.0,9076.0,3938.398253097317,2300.0,0.11985482534212324,0.29160277777534777,1.7496166666520867,0.2096999999982525,0.1109476997675014,0,1,0.87695568242729,Tidak Default,Default
Male,University,Married,31-40,Very High,280000.0,37,0,0,0,0,0,-1,149227.0,152331.0,153080.0,156000.0,160000.0,40485.0,5505.0,3258.0,3120.0,4000.0,100045.0,10000.0,0,0.0,0,0,0,0,811123.0,135187.16666666666,160000.0,46537.151882841594,108742.0,125928.0,20988.0,100045.0,38814.11895174229,-4495.0,0.15525142302689574,0.4828113095220852,2.896867857132511,0.4497428571412509,0.03689010701791974,0,0,0.23431321213617357,Tidak Default,Tidak Default
Female,University,Single,20-30,Low,30000.0,24,0,0,0,0,2,2,20367.0,21882.0,22929.0,25433.0,26228.0,25679.0,2000.0,1696.0,3200.0,1500.0,0.0,4306.0,2,0.6666666666666666,0,2,2,1,142518.0,23753.0,26228.0,2379.164307062461,-5312.0,12702.0,2117.0,4306.0,1484.447237189655,-2306.0,0.08912558413611525,0.7917666666402744,4.750599999841647,0.4233999999858867,0.09819806549328826,0,1,0.6332548840604848,Tidak Default,Default
Male,High School,Married,41-50,Low,50000.0,48,1,-2,-2,-2,-2,-1,6300.0,0.0,0.0,0.0,0.0,5275.0,0.0,0.0,0.0,0.0,5275.0,0.0,1,0.16666666666666666,1,1,0,1,11575.0,1929.1666666666667,6300.0,3006.177667182475,1025.0,5275.0,879.1666666666666,5275.0,2153.5097321968774,0.0,0.4557235420772593,0.03858333333256167,0.23149999999537,0.10549999999789,0.0,0,0,0.5459534318053094,Tidak Default,Tidak Default
Female,University,Married,41-50,Very High,320000.0,41,-2,-2,-2,-2,-2,-2,2555.0,7065.0,648.0,2258.0,722.0,15937.0,7100.0,651.0,2269.0,725.0,16014.0,3088.0,0,0.0,0,0,0,0,29185.0,4864.166666666667,15937.0,5907.779055335995,-13382.0,29847.0,4974.5,16014.0,5899.454644287046,4012.0,1.0226828850086453,0.015200520833285833,0.09120312499971499,0.09327187499970853,2.778864969558174,0,0,0.22955329651355477,Tidak Default,Tidak Default
Female,University,Married,20-30,Low,20000.0,24,4,3,2,2,2,2,16549.0,16002.0,16047.0,15492.0,16739.0,16320.0,0.0,600.0,0.0,1500.0,0.0,2000.0,4,2.5,4,6,6,1,97149.0,16191.5,16739.0,445.0091010305295,229.0,4100.0,683.3333333333334,2000.0,872.7351641057364,-2000.0,0.042203213619880775,0.8095749999595212,4.857449999757128,0.20499999998975,0.0,1,1,0.9020928264135938,Default,Default
Male,University,Married,31-40,High,150000.0,35,2,2,2,2,2,2,144194.0,145889.0,146189.0,146838.0,148754.0,150746.0,6600.0,5300.0,5600.0,5500.0,5700.0,5500.0,2,2.0,2,6,6,1,882610.0,147101.66666666666,150746.0,2316.8486067645135,-6552.0,34200.0,5700.0,6600.0,460.43457732885355,1100.0,0.03874871120875727,0.9806777777712398,5.884066666627439,0.22799999999848,0.04577166872376263,1,1,0.906079424659107,Default,Default
Male,High School,Single,31-40,Low,10000.0,36,-1,-1,-1,-1,0,0,576.0,3100.0,3629.0,6260.0,5990.0,6520.0,4009.0,4011.0,6260.0,120.0,2000.0,2000.0,0,0.0,0,0,0,0,26075.0,4345.833333333333,6520.0,2339.7398502112724,-5944.0,18400.0,3066.6666666666665,6260.0,2141.753269325546,2009.0,0.7056567593209719,0.434583333289875,2.60749999973925,1.839999999816,6.96006943236099,1,0,0.40697337165025016,Default,Tidak Default
Female,High School,Married,60+,Very High,350000.0,64,0,0,0,0,0,0,30726.0,27639.0,28890.0,31090.0,32265.0,33737.0,3000.0,2000.0,3000.0,2000.0,2000.0,2000.0,0,0.0,0,0,0,0,184347.0,30724.5,33737.0,2212.1297204278053,-3011.0,14000.0,2333.3333333333335,3000.0,516.3977794943223,1000.0,0.07594373653991687,0.0877842857140349,0.5267057142842094,0.03999999999988571,0.09763718023505705,0,0,0.2162334505242789,Tidak Default,Tidak Default
